Acc:;Time:
-0,9102783;0
-0,7698059;0,03317881
-0,1768494;0,08133459
-0,1768494;0,09782052
-0,03152466;0,1309938
0,02368164;0,1647921
0,06253052;0,1973982
0,1107788;0,2308443
0,1593933;0,2641149
2,866882;0,2979219
-6,867065;0,3324418
-0,3530884;0,3826079
-0,3530884;0,3996844
0,1074829;0,433362
-1,014465;0,4809246
-1,014465;0,5000167
-0,7186584;0,5477219
-0,7186584;0,5667415
-1,009827;0,6146653
-1,009827;0,6333759
-0,9378662;0,6832626
-0,9378662;0,7004695
-0,9466858;0,7335179
-0,9406738;0,7812569
-0,9406738;0,7998807
-0,9476624;0,8335164
-0,9468078;0,8832285
-0,9468078;0,8997488
-0,945343;0,9332089
-0,9466858;0,9810784
-0,9466858;1,000468
-0,9461975;1,048374
-0,9461975;1,06597
-0,9455872;1,09715
-0,9471741;1,130947
-0,9439697;1,164134
-0,9440918;1,197966
-0,9468078;1,233076
-0,9466858;1,280936
-0,9466858;1,300094
-0,9461975;1,34764
-0,9461975;1,366913
-0,9449769;1,414915
-0,9449769;1,433032
-0,9460754;1,466605
-0,9483948;1,514632
-0,9483948;1,533059
-0,9447021;1,580999
-0,9447021;1,599962
-0,9362793;1,648135
-0,9362793;1,666648
-0,9455872;1,714564
-0,9455872;1,733154
-0,9445801;1,782832
-0,9445801;1,799609
-0,9368896;1,833454
-0,9537659;1,882174
-0,9537659;1,899426
-0,944458;1,933951
-0,9479066;1,982034
-0,9479066;1,999928
-0,9487609;2,033338
